Date,Close
1/16/2018,60.56
1/17/2018,60.66
1/18/2018,61.09
1/19/2018,61.26
1/22/2018,61.41
1/23/2018,61.69
1/24/2018,60.83
1/25/2018,60.55
1/26/2018,57.99
1/29/2018,57.02
1/30/2018,57.19
1/31/2018,56.81
2/1/2018,56
2/2/2018,55.77
2/5/2018,54.69
2/6/2018,55.61
2/7/2018,54.46
2/8/2018,53.77
2/9/2018,54.58
2/12/2018,55.38
2/13/2018,55.67
2/14/2018,55.99
2/15/2018,56.58
2/16/2018,56.48
2/20/2018,55.97
2/21/2018,56.1
2/22/2018,55.4
2/23/2018,56.14
2/26/2018,57.17
2/27/2018,56.57
2/28/2018,57.1
3/1/2018,56.17
3/2/2018,56.93
3/5/2018,56.99
3/6/2018,57.03
3/7/2018,57.03
3/8/2018,57.47
3/9/2018,58.46
3/12/2018,59.4
3/13/2018,59.05
3/14/2018,58.83
3/15/2018,59.37
3/16/2018,59
3/19/2018,58.3
3/20/2018,58.66
3/21/2018,58.47
3/22/2018,57.77
3/23/2018,56.31
3/26/2018,57.8
3/27/2018,57.46
3/28/2018,57.9
3/29/2018,57.89
4/2/2018,56.24
4/3/2018,58
4/4/2018,58.83
4/5/2018,59.14
4/6/2018,58.34
4/9/2018,58.7
4/10/2018,59.41
4/11/2018,59.42
4/12/2018,59.43
4/13/2018,59.24
4/16/2018,59.43
4/17/2018,59.83
4/18/2018,59.5
4/19/2018,59.22
4/20/2018,58
4/23/2018,58.16
4/24/2018,57.81
4/25/2018,57.71
4/26/2018,59.38
4/27/2018,58.36
4/30/2018,57.57
5/1/2018,58.13
5/2/2018,56.7
5/3/2018,56.13
5/4/2018,57.68
5/7/2018,57.45
5/8/2018,57.67
5/9/2018,57.04
5/10/2018,57.65
5/11/2018,57.27
5/14/2018,57.13
5/15/2018,56.64
5/16/2018,57.15
5/17/2018,57.2
5/18/2018,57.2
5/21/2018,57.34
5/22/2018,56.96
5/23/2018,57.49
5/24/2018,57.68
5/25/2018,57.92
5/29/2018,57.23
5/30/2018,57.48
5/31/2018,56.67
6/1/2018,56.91
6/4/2018,57.07
